algorithm,n,trial,time_ms,comparisons,allocations,max_depth
mergesort,1000,1,4,10382,6000,6
mergesort,1000,2,0,10380,6000,6
mergesort,1000,3,0,10348,6000,6
mergesort,1000,4,0,10379,6000,6
mergesort,1000,5,0,10420,6000,6
mergesort,1000,1,4,10274,6000,6
mergesort,1000,2,1,10104,6000,6
mergesort,1000,3,0,10372,6000,6
mergesort,1000,4,1,10312,6000,6
mergesort,1000,5,0,10188,6000,6
mergesort,1000,1,2,10402,6000,6
quicksort,1000,1,2,2919,2314,5
select,1000,1,4,2945,0,5
closest,1000,1,24,2002,255,9
mergesort,1000,2,0,10157,6000,6
quicksort,1000,2,0,2947,2315,5
select,1000,2,0,2840,0,5
closest,1000,2,5,2007,255,9
mergesort,1000,3,0,10362,6000,6
quicksort,1000,3,0,2847,2232,5
select,1000,3,0,3082,0,5
closest,1000,3,9,1995,255,9
mergesort,1000,4,0,10317,6000,6
quicksort,1000,4,0,2833,2207,5
select,1000,4,0,3015,0,5
closest,1000,4,2,1981,255,9
mergesort,1000,5,0,10481,6000,6
quicksort,1000,5,0,2801,2186,5
select,1000,5,0,3011,0,5
closest,1000,5,2,2017,255,9
mergesort,5000,1,3,58430,45000,9
quicksort,5000,1,2,14029,10968,7
select,5000,1,3,15359,0,6
closest,5000,1,23,8690,1927,12
mergesort,5000,2,1,58466,45000,9
quicksort,5000,2,0,14052,10945,6
select,5000,2,0,16064,0,6
closest,5000,2,7,8668,1927,12
mergesort,5000,3,1,58384,45000,9
quicksort,5000,3,0,14042,10940,7
select,5000,3,0,14789,0,6
closest,5000,3,11,8756,1927,12
mergesort,5000,4,1,58331,45000,9
quicksort,5000,4,0,14342,11209,8
select,5000,4,0,15963,0,6
closest,5000,4,11,8757,1927,12
mergesort,5000,5,1,58422,45000,9
quicksort,5000,5,0,14514,11347,7
select,5000,5,0,14402,0,6
closest,5000,5,11,8756,1927,12
mergesort,10000,1,4,127195,100000,10
quicksort,10000,1,3,28101,21918,7
select,10000,1,4,31776,0,6
closest,10000,1,29,17423,3855,13
mergesort,10000,2,2,127159,100000,10
quicksort,10000,2,1,27980,21820,8
select,10000,2,2,31490,0,6
closest,10000,2,21,17566,3855,13
mergesort,10000,3,2,126829,100000,10
quicksort,10000,3,1,28079,21890,7
select,10000,3,0,32094,0,6
closest,10000,3,16,17374,3855,13
mergesort,10000,4,1,127196,100000,10
quicksort,10000,4,0,28639,22424,7
select,10000,4,0,31349,0,6
closest,10000,4,23,17503,3855,13
mergesort,10000,5,0,127219,100000,10
quicksort,10000,5,0,28810,22549,8
select,10000,5,0,30900,0,6
closest,10000,5,22,17446,3855,13
